id,head_id,relation,tail_id,source,freq,confidence
R00001,C00005,Cause,D00016,pubmed,1,0.95
R00002,C00020,Cause,D00016,pubmed,1,0.95
R00003,C00020,Cause,D00023,pubmed,1,0.95
R00004,C00020,Cause,D00048,pubmed,1,0.95
R00005,D00001,Cause,D00027,pubmed,1,0.95
R00006,D00001,Cause,F00019,pubmed,1,0.8
R00007,D00001,Positive_associated,F00004,pubmed,1,0.95
R00008,D00001,Positive_associated,F00077,pubmed,1,0.99
R00009,D00006,Cause,F00019,pubmed,1,0.8
R00010,D00007,Cause,F00019,pubmed,1,0.8
R00011,D00007,Cause,F00030,pubmed,1,0.9
R00012,D00007,Cause,F00031,pubmed,1,0.9
R00013,D00013,Cause,F00021,pubmed,1,0.8
R00014,D00013,Cause,F00038,pubmed,1,0.8
R00015,D00013,Cause,F00039,pubmed,1,0.8
R00016,F00011,Negative_associated,D00006,pubmed,1,0.9
R00017,F00021,Cause,D00001,pubmed,1,0.9
R00018,F00021,Prevent,D00013,pubmed,1,0.8
R00019,F00024,Cause,D00013,pubmed,1,0.9
R00020,F00050,Negative_associated,D00022,pubmed,1,0.9
R00021,F00050,Negative_associated,D00023,pubmed,1,0.9
R00022,F00050,Negative_associated,D00024,pubmed,1,0.9
R00023,F00074,Cause,D00001,pubmed,1,0.9
R00024,F00092,Cause,D00016,pubmed,1,0.9
R00025,G00001,Associated,C00054,pubmed,1,0.8
