segment_id,pmid,disease_group,head_text,head_type,relation,tail_text,tail_type,confidence
pub_35361331,35361331,cancer,age,Factor,Cause,Colorectal Polyps,Disease,1.0
pub_37743572,37743572,cancer,Physical activity,Factor,Prevent,cancer,Disease,1.0
pub_37743572,37743572,cancer,Physical activity,Factor,Prevent,breast cancer,Disease,1.0
pub_37743572,37743572,cancer,Physical activity,Factor,Prevent,colon cancer,Disease,1.0
pub_37743572,37743572,cancer,Physical activity,Factor,Prevent,lung cancer,Disease,1.0
pub_37743572,37743572,cancer,Physical activity,Factor,Prevent,gastric cancer,Disease,1.0
pub_37743572,37743572,cancer,Physical activity,Factor,Prevent,liver cancer,Disease,1.0
pub_37743572,37743572,cancer,Global Burden of Disease Study 2019,Factor,Associated,cancer,Disease,1.0
pub_37743572,37743572,cancer,healthy lifestyle,Factor,Prevent,cancer,Disease,1.0
pub_37743572,37743572,cancer,PubMed,Chemical,Associated,cancer,Disease,1.0
pub_37743572,37743572,cancer,Embase,Chemical,Associated,cancer,Disease,1.0
pub_37743572,37743572,cancer,US National Health and Nutrition Examination Surveys (NHANES),Chemical,Associated,cancer,Disease,1.0
pub_37743572,37743572,cancer,Global Burden of Disease 2019 database,Chemical,Associated,cancer,Disease,1.0
pub_37743572,37743572,cancer,MET-minutes/week,Chemical,Positive_associated,lung cancer,Disease,1.0
pub_37743572,37743572,cancer,inactive population,Factor,Cause,cancer,Disease,1.0
pub_37743572,37743572,cancer,insufficient activity,Factor,Cause,cancer,Disease,1.0
pub_37743572,37743572,cancer,high levels of activity,Factor,Negative_associated,cancer,Disease,1.0
pub_35057525,35057525,cancer,dietary patterns,Factor,Associated,Cancer,Disease,1.0
pub_33518157,33518157,cancer,diet,Factor,Prevent,Colorectal Cancer,Disease,1.0
pub_37929890,37929890,cancer,Breast cancer,Disease,Complicate,Tumor,Disease,1.0
pub_31586566,31586566,cancer,intestinal microbiome,Factor,Associated,Colorectal Cancer,Disease,1.0
pub_26780279,26780279,cancer,Meat Consumption,Factor,Cause,total mortality,Disease,1.0
pub_28935150,28935150,cancer,Mediterranean diet,Factor,Prevent,colorectal cancer,Disease,1.0
pub_33401525,33401525,cancer,diet,Factor,Prevent,colorectal cancer,Disease,1.0
pub_27510511,27510511,cancer,Physical activity,Factor,Negative_associated,breast cancer,Disease,1.0
pub_27510511,27510511,cancer,Physical activity,Factor,Negative_associated,colon cancer,Disease,1.0
pub_27510511,27510511,cancer,Physical activity,Factor,Negative_associated,diabetes,Disease,1.0
pub_27510511,27510511,cancer,Physical activity,Factor,Negative_associated,ischemic heart disease,Disease,1.0
pub_27510511,27510511,cancer,Physical activity,Factor,Negative_associated,ischemic stroke,Disease,1.0
pub_27510511,27510511,cancer,total activity,Factor,Negative_associated,breast cancer,Disease,1.0
pub_27510511,27510511,cancer,total activity,Factor,Negative_associated,colon cancer,Disease,1.0
pub_27510511,27510511,cancer,total activity,Factor,Negative_associated,diabetes,Disease,1.0
pub_27510511,27510511,cancer,total activity,Factor,Negative_associated,ischemic heart disease,Disease,1.0
pub_27510511,27510511,cancer,total activity,Factor,Negative_associated,ischemic stroke,Disease,1.0
pub_27510511,27510511,cancer,Physical activity,Factor,Positive_associated,metabolic equivalent (MET),Chemical,1.0
pub_27510511,27510511,cancer,Physical activity,Factor,Positive_associated,MET minutes/week,Chemical,1.0
pub_27510511,27510511,cancer,total activity,Factor,Positive_associated,metabolic equivalent (MET),Chemical,1.0
pub_27510511,27510511,cancer,total activity,Factor,Positive_associated,MET minutes/week,Chemical,1.0
pub_35000418,35000418,cancer,Colorectal Cancer,Disease,Complicate,ulcerative colitis,Disease,1.0
pub_28759385,28759385,cancer,Physical activity,Factor,Negative_associated,cancer,Disease,1.0
pub_28205448,28205448,cancer,red meat,Factor,Cause,colon cancer,Disease,1.0
pub_30993317,30993317,cancer,diet,Factor,Cause,colorectal cancer,Disease,1.0
pub_30993317,30993317,cancer,red and processed meat,Chemical,Cause,colorectal cancer,Disease,1.0
pub_30993317,30993317,cancer,fibre from bread and breakfast cereals,Chemical,Negative_associated,colorectal cancer,Disease,1.0
pub_30993317,30993317,cancer,alcohol,Chemical,Cause,colorectal cancer,Disease,1.0
pub_30993317,30993317,cancer,UK government,Factor,Prevent,colorectal cancer,Disease,1.0
pub_30993317,30993317,cancer,Cox-regression models,Chemical,Associated,colorectal cancer,Disease,1.0
pub_30993317,30993317,cancer,hazard ratios,Chemical,Associated,colorectal cancer,Disease,1.0
