pmid,title,abstract,year,disease_group
35361331,Risk Factors for Colorectal Polyps and Cancer.,"Colorectal cancer (CRC) is a common malignancy in the U.S. and worldwide. Most CRC cases arise from precancerous adenomatous and serrated polyps. Established risk factors for conventional adenomas and CRC include age, male sex, family history, obesity and physical inactivity, and red meat intake. White race and tobacco and alcohol use are important risk factors for serrated polyps, which have a distinct risk factor profile compared to conventional adenomas. A history of abdominopelvic radiation, acromegaly, hereditary hemochromatosis, or prior ureterosigmoidostomy also increases CRC risk. Understanding these risk factors allows for targeted screening of high-risk groups to reduce CRC incidence.",2022,cancer
37743572,Physical activity and cancer risk: a dose-response analysis for the Global Burden of Disease Study 2019.,"Adopting a healthy lifestyle, including regular physical activity, is widely believed to decrease cancer risk. This study aimed to quantitatively establish the dose-response relationships between total physical activity and the risk of breast, colon, lung, gastric, and liver cancers. A systematic review and dose-response analysis were conducted using PubMed and Embase from January 1, 1980 to March 20, 2023. Prospective cohort studies that examined the association between physical activity and the risks of any of the 5 outcomes were included. The search was confined to publications in the English language with a specific focus on human studies. Physical activity is standardized by using the data from US National Health and Nutrition Examination Surveys (NHANES) and the Global Burden of Disease 2019 database. A total of 98 studies, involving a combined population of 16,418,361 individuals, were included in the analysis. Among the included studies, 57 focused on breast cancer, 17 on lung cancer, 23 on colon cancer, 5 on gastric cancer, and 7 on liver cancer. Overall, elevated levels of physical activity exhibited an inverse correlation with the risk of cancer. The dose-response curve for lung cancer exhibited a non-linear pattern, with the greatest benefit risk reduction observed at 13,200 MET-minutes/week of physical activity, resulting in a 14.7% reduction in risk (relative risk 0.853, uncertainty interval 0.798 to 0.912) compared to the inactive population. In contrast, the dose-response curves for colon, gastric, breast, and liver cancers showed linear associations, indicating that heightened levels of total physical activity were consistently associated with reduced cancer risks. However, the increase in physical activity yielded a smaller risk reduction for colon and gastric cancers compared to breast and liver cancers. Compared to individuals with insufficient activity (total activity level < 600 MET-minutes/week), individuals with high levels of activity (≥ 8,000 MET-minutes/week) experienced a 10.3% (0.897, 0.860 to 0.934) risk reduction for breast cancer; 5.9% (0.941, 0.884 to 1.001) for lung cancer; 7.1% (0.929, 0.909 to 0.949) for colon cancer; 5.1% (0.949, 0.908 to 0.992) for gastric cancer; 17.1% (0.829, 0.760 to 0.903) for liver cancer. This study demonstrated a significant inverse relationship between total physical activity and the risk of breast, gastric, liver, colon, and lung cancers.",2023,cancer
35057525,The Role of Diet in Prognosis among Cancer Survivors: A Systematic Review and Meta-Analysis of Dietary Patterns and Diet Interventions.,"Cancer survival continues to improve in high-income countries, partly explained by advances in screening and treatment. Previous studies have mainly examined the relationship between individual dietary components and cancer prognosis in tumours with good therapeutic response (breast, colon and prostate cancers). The aim of this review is to assess qualitatively (and quantitatively where appropriate) the associations of dietary patterns and cancer prognosis from published prospective cohort studies, as well as the effect of diet interventions by means of randomised controlled trials (RCT). A systematic search was conducted in PubMed, and a total of 35 prospective cohort studies and 14 RCT published between 2011 and 2021 were selected. Better overall diet quality was associated with improved survival among breast and colorectal cancer survivors; adherence to the Mediterranean diet was associated to lower risk of mortality in colorectal and prostate cancer survivors. A meta-analysis using a random-effects model showed that higher versus lower diet quality was associated with a 23% reduction in overall mortality in breast cancer survivors. There was evidence that dietary interventions, generally combined with physical activity, improved overall quality of life, though most studies were in breast cancer survivors. Further cohort and intervention studies in other cancers are needed to make more specific recommendations.",2022,cancer
33518157,"Colorectal Cancer and Diet: Risk Versus Prevention, Is Diet an Intervention?","Colorectal cancer is the third most common cause of cancer in men and women in the world. Epidemiologic research approximates that half of colon cancer risk is preventable by modifiable risk factors, including diet. This article reviews prior studies involving certain food items and their relation to colorectal cancer, to elucidate whether diet can be a potential intervention.",2021,cancer
25651787,"Global cancer statistics, 2012.","Cancer constitutes an enormous burden on society in more and less economically developed countries alike. The occurrence of cancer is increasing because of the growth and aging of the population, as well as an increasing prevalence of established risk factors such as smoking, overweight, physical inactivity, and changing reproductive patterns associated with urbanization and economic development. Based on GLOBOCAN estimates, about 14.1 million new cancer cases and 8.2 million deaths occurred in 2012 worldwide. Over the years, the burden has shifted to less developed countries, which currently account for about 57% of cases and 65% of cancer deaths worldwide. Lung cancer is the leading cause of cancer death among males in both more and less developed countries, and has surpassed breast cancer as the leading cause of cancer death among females in more developed countries; breast cancer remains the leading cause of cancer death among females in less developed countries. Other leading causes of cancer death in more developed countries include colorectal cancer among males and females and prostate cancer among males. In less developed countries, liver and stomach cancer among males and cervical cancer among females are also leading causes of cancer death. Although incidence rates for all cancers combined are nearly twice as high in more developed than in less developed countries in both males and females, mortality rates are only 8% to 15% higher in more developed countries. This disparity reflects regional differences in the mix of cancers, which is affected by risk factors and detection practices, and/or the availability of treatment. Risk factors associated with the leading causes of cancer death include tobacco use (lung, colorectal, stomach, and liver cancer), overweight/obesity and physical inactivity (breast and colorectal cancer), and infection (liver, stomach, and cervical cancer). A substantial portion of cancer cases and deaths could be prevented by broadly applying effective prevention measures, such as tobacco control, vaccination, and the use of early detection tests.",2015,cancer
25575572,"Nutrients, foods, and colorectal cancer prevention.","Diet has an important role in the development of colorectal cancer. In the past few decades, findings from extensive epidemiologic and experimental investigations have linked consumption of several foods and nutrients to the risk of colorectal neoplasia. Calcium, fiber, milk, and whole grains have been associated with a lower risk of colorectal cancer, and red meat and processed meat have been associated with an increased risk. There is substantial evidence for the potential chemopreventive effects of vitamin D, folate, fruits, and vegetables. Nutrients and foods also may interact, as a dietary pattern, to influence colorectal cancer risk. Diet likely influences colorectal carcinogenesis through several interacting mechanisms. These include the direct effects on immune responsiveness and inflammation, and the indirect effects of overnutrition and obesity-risk factors for colorectal cancer. Emerging evidence also implicates the gut microbiota as an important effector in the relationship between diet and cancer. Dietary modification therefore has the promise of reducing colorectal cancer incidence.",2015,cancer
37847493,The Effect of Diet on Breast Cancer Recurrence: The DIANA-5 Randomized Trial.,"The DIANA-5 randomized controlled trial assessed the effectiveness of a diet based on Mediterranean and macrobiotic traditions (macro-Mediterranean diet) in reducing breast cancer recurrence. The DIANA-5 study involved 1,542 patients with breast cancer at high risk of recurrence because of estrogen receptor-negative cancer, or metabolic syndrome, or high plasma levels of insulin or testosterone. Women were randomly assigned to an active dietary intervention (IG) or a control group (CG). Both groups received the 2007 American Institute for Cancer Research/World Cancer Research Fund recommendations for cancer prevention. The intervention consisted of meetings with kitchen classes, community meals, and dietary recommendations. Recommended foods included whole grain cereals, legumes, soy products, vegetables, fruit, nuts, olive oil, and fish. Foods to be avoided were refined products, potatoes, sugar and desserts, red and processed meat, dairy products, and alcoholic drinks. A compliance Dietary Index was defined by the difference between recommended and discouraged foods. Over the 5 years of follow-up, 95 patients of the IG and 98 of the CG developed breast cancer recurrence [HR = 0.99; 95% confidence interval (CI): 0.69-1.40]. The analysis by compliance to the dietary recommendations (IG and CG together) showed that the women in the upper tertile of Dietary Index change had an HR of recurrence of 0.59 (95% CI: 0.36-0.92) compared with women in the lower tertile. The DIANA-5 dietary intervention trial failed to show a reduction in breast cancer recurrence, although self-reported diet at year 1 in IG and CG combined showed a protective association with the higher Dietary Index change. See related commentary by McTiernan, p. 931.",2024,cancer
37929890,[Nutrition in breast cancer genesis].,"Breast cancer is the most prevalent tumor in women, ranking first in incidence and mortality in many countries. Although the causes of breast cancer are complex and multifactorial, nutritional factors and those related to nutritional status play an important role in the development of the disease. In this way, factors that increase breast cancer risk have been identified, such as weight gain, the amount of adipose tissue, waist circumference, alcohol consumption or the consumption of red meat and processed meat, while other factors have been identified that reduce the risk, such as eating fruits and vegetables. Nutritional factors or factors that depend on the state of nutrition are modifiable and preventable, so they must be considered when designing effective prevention programs.",2023,cancer
31586566,"Influence of the Gut Microbiome, Diet, and Environment on Risk of Colorectal Cancer.","Researchers have discovered associations between elements of the intestinal microbiome (including specific microbes, signaling pathways, and microbiota-related metabolites) and risk of colorectal cancer (CRC). However, it is unclear whether changes in the intestinal microbiome contribute to the development of sporadic CRC or result from it. Changes in the intestinal microbiome can mediate or modify the effects of environmental factors on risk of CRC. Factors that affect risk of CRC also affect the intestinal microbiome, including overweight and obesity; physical activity; and dietary intake of fiber, whole grains, and red and processed meat. These factors alter microbiome structure and function, along with the metabolic and immune pathways that mediate CRC development. We review epidemiologic and laboratory evidence for the influence of the microbiome, diet, and environmental factors on CRC incidence and outcomes. Based on these data, features of the intestinal microbiome might be used for CRC screening and modified for chemoprevention and treatment. Integrated prospective studies are urgently needed to investigate these strategies.",2020,cancer
26780279,Health Risks Associated with Meat Consumption: A Review of Epidemiological Studies.,"Recent evidence from large prospective US and European cohort studies and from meta-analyses of epidemiological studies indicates that the long-term consumption of increasing amounts of red meat and particularly of processed meat is associated with an increased risk of total mortality, cardiovascular disease, colorectal cancer and type 2 diabetes, in both men and women. The association persists after inclusion of known confounding factors, such as age, race, BMI, history, smoking, blood pressure, lipids, physical activity and multiple nutritional parameters in multivariate analysis. The association has not always been noted with red meat, and it has been absent with white meat. There is evidence of several mechanisms for the observed adverse effects that might be involved, however, their individual role is not defined at present. It is concluded that recommendations for the consumption of unprocessed red meat and particularly of processed red meat should be more restrictive than existing recommendations. Restrictive recommendations should not be applied to subjects above about 70 years of age, as the studies quoted herein did not examine this age group, and the inclusion of sufficient protein supply (e. g. in the form of meat) is particularly important in the elderly.",2015,cancer
