pmid,title,abstract,year,disease_group
27189863,Chronic obstructive pulmonary disease.,"Chronic obstructive pulmonary disease (COPD) is a common disease with high global morbidity and mortality. COPD is characterized by poorly reversible airway obstruction, which is confirmed by spirometry, and includes obstruction of the small airways (chronic obstructive bronchiolitis) and emphysema, which lead to air trapping and shortness of breath in response to physical exertion. The most common risk factor for the development of COPD is cigarette smoking, but other environmental factors, such as exposure to indoor air pollutants - especially in developing countries - might influence COPD risk. Not all smokers develop COPD and the reasons for disease susceptibility in these individuals have not been fully elucidated. Although the mechanisms underlying COPD remain poorly understood, the disease is associated with chronic inflammation that is usually corticosteroid resistant. In addition, COPD involves accelerated ageing of the lungs and an abnormal repair mechanism that might be driven by oxidative stress. Acute exacerbations, which are mainly triggered by viral or bacterial infections, are important as they are linked to a poor prognosis. The mainstay of the management of stable disease is the use of inhaled long-acting bronchodilators, whereas corticosteroids are beneficial primarily in patients who have coexisting features of asthma, such as eosinophilic inflammation and more reversibility of airway obstruction. Apart from smoking cessation, no treatments reduce disease progression. More research is needed to better understand disease mechanisms and to develop new treatments that reduce disease activity and progression.",2015,respiratory
37286221,The role of diet and nutrition in the management of COPD.,"In 2014, the European Respiratory Society published a statement on nutritional assessment and therapy in COPD. Since then, increasing research has been performed on the role of diet and nutrition in the prevention and management of COPD. Here, we provide an overview of recent scientific advances and clinical implications. Evidence for a potential role of diet and nutrition as a risk factor in the development of COPD has been accumulating and is reflected in the dietary patterns of patients with COPD. Consuming a healthy diet should, therefore, be promoted in patients with COPD. Distinct COPD phenotypes have been identified incorporating nutritional status, ranging from cachexia and frailty to obesity. The importance of body composition assessment and the need for tailored nutritional screening instruments is further highlighted. Dietary interventions and targeted single or multi-nutrient supplementation can be beneficial when optimal timing is considered. The therapeutic window of opportunity for nutritional interventions during and recovering from an acute exacerbation and hospitalisation is underexplored.",2023,respiratory
32800187,Epidemiology of Chronic Obstructive Pulmonary Disease.,"Chronic obstructive pulmonary disease (COPD) affects about 300 million people worldwide, resulting in approximately 64 million disability-adjusted life years. Household air pollution affects almost 3 billion people worldwide and is a major risk factor for COPD. An estimated 25% to 45% of patients with COPD worldwide have never smoked. Fourteen percent of the overall COPD burden is attributable to occupational exposures. Rural populations are at higher risk for COPD than urban residents. African American never-smokers have a disproportionately high prevalence and Hispanic people have a low prevalence of COPD.",2020,respiratory
39046133,Small airways disease in chronic obstructive pulmonary disease.,"Small airway disease (SAD) represents a common and critical feature of Chronic Obstructive Pulmonary Disease (COPD). Introduced in the '60s, SAD has gradually gained increasing interest as assessment methodologies have improved. Chronic exposure to smoking and noxious particles or gases induces inflammation and remodeling, leading to airway obstruction and SAD, eventually resulting in complete airway loss. A literature search up to June 2024 was performed in PubMed to identify articles on SAD and airway diseases mainly COPD, but also to the extent that it seemed relevant in the uncontrolled/severe asthma field, where SAD is better studied. We provide clinicians and translational scientists with a comprehensive analysis of the existing literature on SAD in COPD, concentrating on the underlying pathophysiological mechanisms, diagnostic techniques, and current pharmacological approaches targeting airflow obstruction in small airways. Small airways are the primary site for the onset and progression of airflow obstruction in patients with COPD, with significant clinical consequences associated with poor lung function, hyperinflation, and impaired quality of life. The early identification of individuals with subclinical SAD may allow us to prevent its further progress from airway loss and potential development of emphysema and choose the appropriate therapeutic approach.",2024,respiratory
34858022,Focus on Early COPD: Definition and Early Lung Development.,"Chronic obstructive pulmonary disease (COPD) is a disease with high incidence rate and mortality rates worldwide. It is the third leading cause of death in the world. Nevertheless, little progress has been made in treating and preventing the disease. Under these circumstances, the concept of ""early COPD"" was proposed. Although this concept is not new, most health-care workers do not fully understand early COPD and tend to confuse it with mild COPD. In this review, we mainly discuss the definition of early COPD and the developmental trajectory of lung function. Although patients with early COPD have no symptoms, their lung function is already lower than that of normal people. A relatively complete definition is needed to identify this group of people. Reduced lung function is the diagnostic criterion for COPD, but lung development is a long-term dynamic process. In addition to smoking and air pollution, we should pay more attention to prenatal and childhood risk factors, for example, parents smoking, birth weight, preterm birth, mode of delivery, childhood respiratory infections and childhood asthma. Health-care workers need to be fully aware of early COPD, to reduce the morbidity of COPD and take effective measures to prevent these risk factors.",2021,respiratory
29731623,Disease burden of COPD in China: a systematic review.,"Chronic obstructive pulmonary disease (COPD) is one of the main contributors to the global burden of disease. The aim of this systematic review was to quantify the disease burden of COPD in China and to determine the risk factors of the disease. The number of studies included in the review was 47 with an average quality assessment score of 7.70 out of 10. Reported COPD prevalence varied between 1.20% and 8.87% in different provinces/cities across China. The prevalence rate of COPD was higher among men (7.76%) than women (4.07%). The disease was more prevalent in rural areas (7.62%) than in urban areas (6.09%). The diagnostic rate of COPD patients in China varied from 23.61% to 30.00%. The percentage of COPD patients receiving outpatient treatment was around 50%, while the admission rate ranged between 8.78% and 35.60%. Tobacco exposure and biomass fuel/solid fuel usage were documented as two important risk factors of COPD. COPD ranked among the top three leading causes of death in China. The direct medical cost of COPD ranged from 72 to 3,565 USD per capita per year, accounting for 33.33% to 118.09% of local average annual income. The most commonly used scales for the assessment of quality of life (QoL) included Saint George Respiratory Questionnaire, Airways Questionnaire 20, SF-36, and their revised versions. The status of QoL was worse among COPD patients than in non-COPD patients, and COPD patients were at higher risks of depression. The COPD burden in China was high in terms of economic burden and QoL. In view of the high smoking rate and considerable concerns related to air pollution and smog in China, countermeasures need to be taken to improve disease prevention and management to reduce disease burdens raised by COPD.",2018,respiratory
39344061,Update on the pharmacological treatment of chronic obstructive pulmonary disease.,"Chronic obstructive pulmonary disease (COPD) is a common syndrome associated with smoking and environmental exposures coupled with genetic susceptibility. Recent major advancements in the treatment of COPD patients have become available. New data on the role of classic bronchodilators, including short-acting and long-acting beta2-agonists and anti-muscarinic antagonists, in the treatment of COPD patients are discussed. Data promoting a more targeted approach to inhaled and systemic corticosteroid use in COPD are reviewed. Phosphodiesterase (PDE) inhibitors, including the recently approved PDE 3/4 inhibitor inhaled ensifentrine, are noted. Selective use of antibiotics can play a role in complex COPD patients. COPD patients with evidence of asthma-COPD overlap syndrome and type-two lymphocytic inflammatory-mediated airway constriction appear to respond to biologics, particularly the anti-IL-4/IL-3 antagonist monoclonal antibody, dupilumab. New therapeutic options have made the approach and treatment of the COPD patient much more complicated. These options tend to be very expensive. Attention to identifying the endotype and phenotype will help direct the pharmacotherapy.",2024,respiratory
31220055,"Chronic Obstructive Pulmonary Disease and Smoking Status - United States, 2017.","Cigarette smoking is the leading cause of chronic obstructive pulmonary disease (COPD) in the United States; however, an estimated one fourth of adults with COPD have never smoked (1). CDC analyzed state-specific Behavioral Risk Factor Surveillance System (BRFSS) data from 2017, which indicated that, overall among U.S. adults, 6.2% (age-adjusted) reported having been told by a health care professional that they had COPD. The age-adjusted prevalence of COPD was 15.2% among current cigarette smokers, 7.6% among former smokers, and 2.8% among adults who had never smoked. Higher prevalences of COPD were observed in southeastern and Appalachian states, regardless of smoking status of respondents. Whereas the strong positive correlation between state prevalence of COPD and state prevalence of current smoking was expected among current and former smokers, a similar relationship among adults who had never smoked suggests secondhand smoke exposure as a potential risk factor for COPD. Continued promotion of smoke-free environments might reduce COPD among both those who smoke and those who do not.",2019,respiratory
40437348,Contemporary Concise Review 2024: Chronic Obstructive Pulmonary Disease.,"Non-smoking COPD is common in LMICs, especially in women. Biomass fuel and air pollution are major risk factors with distinct pathophysiology. The 'eosinophilic' endotype in COPD is biologically distinct from asthma. PRISm, FEV<sub>1</sub>/FVC Z-scores, and quantitative CT improve early COPD detection. Dupilumab (anti-IL-4/IL-13) improved exacerbations and lung function in COPD with blood eosinophils ≥ 300 cells/μL. Mechanisms are currently being investigated. Smoking cessation remains pivotal. Nicotine metabolite ratio (NMR) can guide pharmacotherapy. Cytisine and varenicline are effective; e-cigarettes pose safety concerns. Mood disorders and dysfunctional breathing are common in COPD. Addressing these can reduce symptom burden and improve quality of life. Comorbidity management, particularly of cardiovascular risk, obesity, and sleep-disordered breathing, is integral to holistic COPD care.",2025,respiratory
35410227,"Distributions and trends of the global burden of COPD attributable to risk factors by SDI, age, and sex from 1990 to 2019: a systematic analysis of GBD 2019 data.","Global distributions and trends of the risk-attributable burdens of chronic obstructive pulmonary disease (COPD) have rarely been systematically explored. To guide the formulation of targeted and accurate strategies for the management of COPD, we analyzed COPD burdens attributable to known risk factors. Using detailed COPD data from the Global Burden of Disease study 2019, we analyzed disability-adjusted life years (DALYs), years lived with disability (YLDs), years of life lost (YLLs), and deaths attributable to each risk factor from 1990 to 2019. Additionally, we calculated estimated annual percentage changes (EAPCs) during the study period. The population attributable fraction (PAF) and summary exposure value (SEV) of each risk factor are also presented. From 1990 to 2019, the age-standardized DALY and death rates of COPD attributable to smoking and household air pollution, occupational particles, secondhand smoke, and low temperature presented consistently declining trends in almost all socio-demographic index (SDI) regions. However, the decline in YLD was not as dramatic as that of the death rate. In contrast, the COPD burden attributable to ambient particulate matter, ozone, and high temperature exposure showed undesirable increasing trends in the low- and low-middle-SDI regions. In addition, the age-standardized DALY and death rates attributable to each risk factor except household air pollution and low temperature were the highest in the low-middle-SDI region. In 2019, the COPD burden attributable to smoking ambient particulate matter, ozone, occupational particles, low and high temperature was obviously greater in males than in females. Meanwhile, the most important risk factors for female varied across regions (low- and low-middle-SDI regions: household air pollution; middle-SDI region: ambient particles; high-middle- and high-SDI region: smoking). Increasing trends of COPD burden attributable to ambient particulate matter, ozone, and high temperature exposure in the low-middle- and low-SDI regions call for an urgent need to implement specific and effective measures. Moreover, considering the gender differences in COPD burdens attributable to some risk factors such as ambient particulate matter and ozone with similar SEV, further research on biological differences between sexes in COPD and relevant policy-making of disease prevention are required.",2022,respiratory
